Disease,Overview
Disease,Overview
Hypertensive Disease,"Hypertension, commonly known as high blood pressure, is a chronic medical condition where the blood pressure in the arteries remains persistently elevated. This condition forces the heart to work harder than normal to circulate blood through the blood vessels. Over time, uncontrolled high blood pressure can lead to serious health complications including heart disease, stroke, kidney failure, and vision problems. Many people with hypertension experience no symptoms, which is why it's often called the 'silent killer.' When symptoms do occur, they may include headaches, shortness of breath, or nosebleeds. Risk factors include obesity, excessive salt intake, alcohol overuse, stress, and family history. Regular blood pressure monitoring is essential for early detection and management."
Diabetes,"Diabetes mellitus is a chronic metabolic disorder characterized by elevated levels of blood glucose over a prolonged period. This condition occurs either when the pancreas doesn't produce enough insulin (Type 1 diabetes) or when the body cannot effectively use the insulin it produces (Type 2 diabetes). Common symptoms include increased thirst, frequent urination, unexplained weight loss, fatigue, and blurred vision. If left untreated, diabetes can lead to serious complications such as cardiovascular disease, nerve damage, kidney failure, and vision loss. Management typically involves blood sugar monitoring, dietary modifications, regular physical activity, and often medication or insulin therapy. People with diabetes need to be particularly careful about foot care and regular health check-ups."
Depressive Disorder,"Major depressive disorder is a serious mental health condition characterized by persistent feelings of sadness, hopelessness, and loss of interest in previously enjoyable activities. These symptoms must last for at least two weeks and represent a change from previous functioning to qualify as clinical depression. Other symptoms may include changes in appetite or weight, sleep disturbances, fatigue, difficulty concentrating, and sometimes thoughts of death or suicide. Depression can be triggered by genetic factors, biochemical imbalances, stressful life events, or medical conditions. Treatment typically involves psychotherapy, antidepressant medications, or a combination of both. Without proper treatment, depression can significantly impair a person's ability to function in daily life and maintain relationships."
Coronary Heart Disease,"Coronary artery disease develops when the major blood vessels that supply the heart with blood, oxygen and nutrients become damaged or diseased. This is usually due to the buildup of cholesterol-containing deposits (plaques) on the artery walls, a process called atherosclerosis. As these plaques grow, they can narrow the coronary arteries, decreasing blood flow to the heart. The reduced blood flow may eventually cause chest pain (angina), shortness of breath, or other symptoms. A complete blockage can cause a heart attack. Risk factors include smoking, high blood pressure, high cholesterol, diabetes, and a sedentary lifestyle. Treatment focuses on lifestyle changes, medications, and sometimes surgical procedures to restore adequate blood flow."
Pneumonia,"Pneumonia is an infection that inflames the air sacs in one or both lungs, which may fill with fluid or pus. This condition can be caused by various organisms, including bacteria, viruses, and fungi. Common symptoms include cough with phlegm, fever, chills, and difficulty breathing. The severity of pneumonia can range from mild to life-threatening, particularly in infants, young children, older adults, and people with weakened immune systems. Bacterial pneumonia, the most common type, is typically treated with antibiotics. Viral pneumonia often improves with rest and home care. Prevention methods include vaccination (such as the pneumococcal vaccine), proper hand hygiene, and avoiding smoking. Hospitalization may be required for severe cases."
Congestive Heart Failure,"Congestive heart failure occurs when the heart muscle doesn't pump blood as well as it should. This condition develops when the heart becomes too weak or stiff to fill and pump efficiently. Blood and fluid can back up into the lungs (causing shortness of breath) and into the legs (causing swelling). Other symptoms may include fatigue, rapid or irregular heartbeat, and persistent cough or wheezing. There are two main types: systolic heart failure (when the heart can't pump forcefully enough) and diastolic heart failure (when the heart can't relax properly to fill with blood). While the condition is serious and chronic, treatments including medications, lifestyle changes, and sometimes devices or surgery can help improve symptoms and prolong life."
Cerebrovascular Accident,"A cerebrovascular accident, commonly called a stroke, occurs when the blood supply to part of the brain is interrupted or reduced, preventing brain tissue from getting oxygen and nutrients. There are two main types: ischemic stroke (caused by a blocked artery) and hemorrhagic stroke (caused by a leaking or burst blood vessel). Symptoms appear suddenly and may include trouble speaking or understanding speech, paralysis or numbness of the face, arm or leg (typically on one side), vision problems, severe headache, and difficulty walking. Strokes are medical emergencies that require immediate treatment to minimize brain damage and potential complications. Risk factors include high blood pressure, smoking, diabetes, and heart disease. Recovery often involves rehabilitation therapy."
Asthma,"Asthma is a chronic inflammatory disease of the airways that causes recurring episodes of wheezing, breathlessness, chest tightness, and coughing, particularly at night or early in the morning. During an asthma attack, the airways become inflamed and narrowed due to muscle tightening and increased mucus production, making breathing difficult. Triggers vary by individual but may include allergens (like pollen or pet dander), respiratory infections, physical activity, cold air, air pollutants, and stress. While there's no cure, asthma can be effectively managed with controller medications (usually inhaled corticosteroids) to reduce inflammation and quick-relief inhalers for symptom flare-ups. Severe attacks may require emergency treatment."
