Disease,Symptoms
anxiety   state,"spasm, pain, hallucinations auditory, inappropriate affect, mood depressed, homicidal thoughts"
psychotic   disorder,"terrify, nasal discharge present, pain abdominal, nightmare, behavior hyperactive"
colitis,"oliguria, speech slurred, pain abdominal, tenesmus, seizure, urge incontinence, pain foot, hypotension, chill, diarrhea"
colitis,"snuffle, charleyhorse, tenesmus, pain abdominal, breath-holding spell, chill, urge incontinence"
gastroesophageal   reflux disease,"palpitation, projectile vomiting, fatigue, vision blurred, sweating increased, asthenia, exhaustion"
affect   labile,"drool, pain chest, enuresis, hallucinations visual, sensory discomfort, prostatism, redness, superimposition"
paranoia,"energy increased, mood depressed, heavy feeling, dizziness, pneumatouria, loose associations, hypoxemia, fall, blackout"
degenerative   polyarthritis,"rale, retch, non-productive cough, productive cough, unsteady gait, polydypsia, photophobia"
affect   labile,"nasal discharge present, bedridden, hypoproteinemia, asymptomatic, enuresis, prostatism, hallucinations visual, numbness of hand, abdominal tenderness"
sepsis (invertebrate),"uncoordination, ataxia, mass in breast, haemorrhage, malaise, rale, apyrexial"
sickle   cell anemia,"headache, hepatosplenomegaly, hyperkalemia, apyrexial, feeling strange, green sputum, difficulty passing urine"
diverticulosis,"homicidal thoughts, anorexia, nausea, weepiness, cystic lesion, nausea and vomiting, pain neck, t wave inverted"
delusion,"estrogen use, hypokalemia, coordination abnormal, cardiomegaly, agitation, irritable mood, burning sensation, terrify, hypertonicity"
diabetes,"vomiting, unsteady gait, seizure, pulse absent, labored breathing, heartburn, burning sensation, unresponsiveness"
malignant   neoplasms,"hydropneumothorax, suicidal, blanch, food intolerance, flare"
infection   urinary tract,"absences finding, tremor resting, mental status changes, distress respiratory, r wave feature, consciousness clear"
hepatitis   B,"abdominal tenderness, macule, moan, projectile vomiting, renal angle tenderness"
bronchitis,"decreased body weight, chill, alcoholic withdrawal symptoms, sciatica, dyspnea, hacking cough"
peripheral   vascular disease,"dyspareunia, dyspnea, sore to touch, sleepy, cardiovascular event, unable to concentrate, elation"
tonic-clonic seizures,"tumor cell invasion, headache, cachexia, ambidexterity, spasm, ache"
pancreatitis,"nausea, hemianopsia homonymous, st segment depression, pain foot, rigor - temperature-associated observation, para 2, apyrexial"
cholecystitis,"panic, awakening early, abnormally hard consistency, bleeding of vagina, verbal auditory hallucinations, constipation, erythema, dullness, feces in rectum, groggy"
hemiparesis,"fatigue, poor dentition, stinging sensation, impaired cognition, intermenstrual heavy bleeding, Stahli's line, sleepy"
diverticulosis,"room spinning, anorexia, nausea, irritable mood, feeling hopeless, cystic lesion"
edema   pulmonary,"wheezing, bradykinesia, lightheadedness, patient non compliance, chill, sinus rhythm, chest discomfort, pustule"
pericardial effusion body substance,"intoxication, fear of falling, feeling strange, oliguria, prodrome"
hypertensive   disease,"nausea, decompensation, chill, angina pectoris, asterixis, palpitation, shooting pain"
hypertension   pulmonary,"abdomen acute, left atrial hypertrophy, neck stiffness, tonic seizures, orthopnea"
ketoacidosis   diabetic,"urge incontinence, seizure, weepiness, urinary hesitation, diarrhea, hematocrit decreased"
thrombus,"ataxia, vomiting, hypersomnia, facial paresis, dyspnea on exertion, stool color yellow, asthenia"
hypoglycemia,"clammy skin, groggy, exhaustion, sleepy, paralyse, hypotension"
anemia,"difficulty, throat sore, shortness of breath, hypometabolism, transaminitis, guaiac positive"
manic   disorder,"decompensation, suicidal, catatonia, pain foot, feeling suicidal, difficulty, diarrhea, aura"
primary malignant neoplasm,"pain foot, nervousness, hematuria, thicken, pain"
hiv infections,"hallucinations auditory, hypotonic, hunger, rolling of eyes, decreased body weight, feeling suicidal"
arthritis,"inappropriate affect, shortness of breath, egophony, decreased translucency, paresis, distended abdomen"
myocardial   infarction,"poor feeding, presence of q wave, syncope, chest tightness, pain abdominal"
delusion,"stinging sensation, blackout, irritable mood, terrify, tenesmus, fear of falling, ecchymosis"
chronic   obstructive airway disease,"hot flush, sinus rhythm, hypercapnia, wheezing, patient non compliance"
mitral   valve insufficiency,"fatigue, tired, nausea, proteinemia, prodrome, chest discomfort"
adenocarcinoma,"mood depressed, qt interval prolonged, pain, pain abdominal, abscess bacterial"
carcinoma prostate,"polydypsia, mass of body structure, stupor, incoherent, renal angle tenderness, scleral icterus, orthostasis, throbbing sensation quality, decreased body weight"
ileus,"urgency of micturition, apyrexial, thicken, nonsmoker, impaired cognition"
chronic   alcoholic intoxication,"breath sounds decreased, hot flush, panic, hypercapnia, shortness of breath, sleeplessness, abortion, difficulty"
mitral   valve insufficiency,"shooting pain, headache, dullness, chest discomfort, vomiting, pain, fever, clammy skin, apyrexial"
myocardial   infarction,"chest tightness, flare, presence of q wave, dyspnea, hypesthesia"
primary malignant neoplasm,"hoarseness, rigor - temperature-associated observation, worry, pain, hematuria, thicken"
